Dealer code,Dealer state,Dealership,Location Code,Dealership Location,Store Location Code,Store Location Name
DLR-MUM-00015,Maharashtra,Pune,DLR-MUM-00015,Pune,WKS-PUN-00016,Pune
DLR-MUM-00015,Maharashtra,PCMC,DLR-MUM-00015,PCMC,WKS-PCM-0128,PCMC
DLR-NAG-0046,Maharashtra,Nagpur,DLR-NAG-0046,Nagpur,WKS-NAG-0046,Nagpur
DLR-SAS-00142,Bihar,Sasaram,DLR-SAS-00142,Sasaram,WKS-SAS-00142,Sasaram
DLR-BIL-0106,Chhattisgarh,Bilaspur,DLR-BIL-0106,Bilaspur,WKS-BIL-0106,Bilaspur
DLR-TIR-0017,Andhra Pradesh,Tirupati,DLR-TIR-0017,Tirupati,WKS-TIR-0017,Tirupati
DLR-HAJ-00141,Bihar,Hajipur,DLR-HAJ-00141,Hajipur,WKS-HAJ-00141,Hajipur
DLR-NAR-00142,Gujarat,Naroda,DLR-NAR-00142,Naroda,WKS-NAR-00142,Naroda
DLR-MAH-00143,Telangana,Mahabubnagar,DLR-MAH-00143,Mahabubnagar,WKS-MAH-00143,Mahabubnagar
DLR-GOA-0024,Goa,Panaji,DLR-GOA-0024,Panaji,WKS-GOA-0024,Panaji
DLR-DHU-00144,Maharashtra,Dhule,DLR-DHU-00144,Dhule,WKS-DHU-00144,Dhule
DLR-GWA-00145,Madhya Pradesh,Gwalior,DLR-GWA-00145,Gwalior,WKS-GWA-00145,Gwalior
DLR-AGR-0069,Uttar Pradesh,Mathura,DLR-MAT-00146,Mathura,WKS-MAT-00146,Mathura
DLR-FAR-00147,Haryana,Faridabad,DLR-FAR-00147,Faridabad,WKS-FAR-00147,Faridabad
DLR-PAL-00148,Haryana,Palwal,DLR-PAL-00148,Palwal,WKS-PAL-00148,Palwal
DLR-BAS-00149,Uttar Pradesh,Basti,DLR-BAS-00149,Basti,WKS-BAS-00149,Basti
DLR-SUR-0119,Gujarat,Surat,DLR-SUR-0119,Surat,WKS-SUR-0119,Surat
DLR-CHH-00150,Madhya Pradesh,CHHINDWARA,DLR-CHH-00150,CHHINDWARA,WKS-CHH-00150,CHHINDWARA
DLR-MUM-00015,Maharashtra,Kolhapur,DLR-KOL-0127,Kolhapur,WKS-KOL-0127,Kolhapur
DLR-MUM-00015,Maharashtra,Nashik,DLR-NAS-0050,Nashik,WKS-NAS-0050,Nashik
DLR-NAR-00151,Gujarat,Ahmedabad,DLR-NAR-00151,Narol,WKS-NAR-00151,Narol
DLR-BHAV-00152,Gujarat,Bhavnagar,DLR-BHAV-00152,Bhavnagar,WKS-BHAV-00152,Bhavnagar
DLR-NAV-00153,Gujarat,Navsari,DLR-NAV-00153,Navsari,WKS-NAV-00153,Navsari
DLR-BAL-00154,Uttar Pradesh,Ballia,DLR-BAL-00154,Ballia,WKS-BAL-00154,Ballia
DLR-ALI-00154,Uttar Pradesh,Aligarh,DLR-ALI-00154,Aligarh,WKS-ALI-00154,Aligarh
DLR-AMR-00155,Uttar Pradesh,Amroha,DLR-AMR-00155,Amroha,WKS-AMR-00155,Amroha
DLR-PIT-00156,Delhi,Delhi,DLR-PIT-00156,Pitampura,WKS-PIT-00156,Pitampura
DLR-ERO-00157,Tamil Nadu,Erode,DLR-ERO-00157,Erode,WKS-ERO-00157,Erode
DLR-DHA-00158,Jharkhand,Dhanbad,DLR-DHA-00158,Dhanbad,WKS-DHA-00158,Dhanbad
DLR-SHA-00159,Uttar Pradesh,Shahjahanpur,DLR-SHA-00159,Shahjahanpur,WKS-SHA-00159,Shahjahanpur
DLR-SOL-0118,Maharashtra,Solapur,DLR-SOL-0118,Solapur,WKS-SOL-0118,Solapur
DLR-KOT-0061,Rajasthan,Kota,DLR-KOT-0061,kota,WKS-KOT-0061,Kota
DLR-MAN-00160,Karnataka,Mangalore,DLR-MAN-00160,Manglore,WKS-MAN-00160,Manglore
DLR-KAN-00161,Tamil Nadu,Kanyakumari,DLR-KAN-00161,Kanyakumari,WKS-KAN-00161,Kanyakumari
DLR-GHA-0075,Uttar Pradesh,Ghaziabad,DLR-GHA-0075,Ghaziabad,WKS-GHA-0075,Ghaziabad
